,reward,numerosity,fitness
0,3.8999999999999995,11,5.76
1,1.7000000000000002,3,3.84
2,4.2,18,4.319999999999999
3,3.0,6,6.0
4,16.5,29,67.05
5,1.6999999999999997,7,4.920000000000001
6,0.5,3,2.52
7,4.5,9,5.4
8,6.300000000000001,21,25.200000000000003
9,24.700000000000006,57,95.76000000000003
10,6.0,12,9.6
11,9.6,24,105.3
12,4.5,9,5.4
13,37.5,75,224.99999999999994
14,24.899999999999995,93,413.9999999999999
15,16.6,26,121.2
16,1.0,10,8.64
17,2.9,3,7.2
18,43.4,82,422.7
19,15.600000000000003,36,28.799999999999994
20,27.0,54,32.400000000000006
21,3.0,6,6.0
22,36.0,72,129.60000000000005
23,6.0,12,7.2
24,67.19999999999999,108,980.25
25,7.5,15,12.0
26,32.5,65,289.20000000000005
27,23.400000000000006,54,103.68000000000002
28,38.599999999999994,62,128.73
29,6.6,18,10.8
30,1.2999999999999998,7,3.42
31,28.000000000000007,60,327.59999999999997
32,1.0,4,10.68
33,27.0,54,140.39999999999998
34,45.59999999999998,72,80.64
35,9.1,13,38.79
36,6.0,36,47.52
37,4.5,9,5.04
38,10.5,21,16.8
39,60.0,120,107.99999999999994
40,4.5,9,5.4
41,15.8,30,55.8
42,10.5,49,40.31999999999999
43,3.8,6,5.04
44,3.3,5,25.56
45,6.6,18,14.4
46,14.399999999999997,72,93.96
47,36.0,72,72.0
48,4.4,12,9.6
49,11.0,22,22.32
50,30.00000000000001,72,138.44999999999996
51,16.3,27,61.43999999999999
52,7.6,12,10.08
53,35.0,70,358.8
54,5.699999999999999,9,7.5600000000000005
55,11.1,19,24.479999999999997
56,12.0,20,68.4
57,27.0,54,10.799999999999997
58,20.0,40,124.53
59,14.399999999999999,48,60.48
60,10.0,20,101.25
61,14.399999999999997,48,190.08
62,18.0,36,86.40000000000002
63,4.5,9,5.4
64,27.000000000000004,42,92.88000000000001
65,22.799999999999997,36,141.12
66,28.300000000000004,59,125.19
67,45.79999999999999,100,117.84000000000005
68,5.4,18,8.639999999999999
69,3.8,6,5.04
70,9.5,15,16.200000000000003
71,32.400000000000006,72,51.84000000000001
72,17.7,29,25.439999999999998
73,5.1,11,13.32
74,0.2,4,0.12
75,13.199999999999998,36,14.399999999999997
76,12.4,26,177.9
77,18.2,104,17.549999999999997
78,6.599999999999999,30,37.08
79,14.0,28,25.200000000000003
80,34.19999999999999,54,32.400000000000006
81,5.699999999999999,9,7.5600000000000005
82,11.2,16,91.08
83,10.5,21,8.4
84,14.1,43,171.89999999999998
85,36.099999999999994,59,340.41
86,1.9,3,6.6
87,22.5,45,27.000000000000007
88,11.4,18,90.72
89,14.9,25,53.879999999999995
90,67.19999999999997,96,336.96
91,19.5,39,190.2
92,2.2,6,1.44
93,18.0,36,7.199999999999998
94,10.3,23,36.900000000000006
95,25.199999999999996,48,176.22
96,7.1,21,100.44
97,11.700000000000003,39,56.160000000000004
98,11.700000000000003,39,124.79999999999997
99,36.0,72,43.19999999999999
100,11.4,18,10.08
101,27.600000000000005,36,51.84
102,10.5,21,16.8
103,6.0,12,8.64
104,33.6,48,173.88000000000002
105,1.5,3,6.6
106,4.8,24,4.860000000000001
107,7.5,15,27.0
108,10.8,12,12.96
109,14.399999999999999,48,59.40000000000001
110,20.5,41,57.6
111,48.0,96,57.59999999999998
112,27.299999999999994,45,117.81
113,7.0,28,34.02
114,0.9,7,3.6
115,16.5,33,55.44
